title,price,currency,rating,in_stock,stock_count,category,upc,tax,reviews,url,availability
Set Me Free,17.46,GBP,5,True,19,Young Adult,ce6396b0f23f6ecc,0.0,0,https://books.toscrape.com/catalogue/set-me-free_988/index.html,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,GBP,5,True,19,Sequential Art,3b1c02bac2a429e6,0.0,0,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,In stock (19 available)
Rip it Up and Start Again,35.02,GBP,5,True,19,Music,a34ba96d4081e6a4,0.0,0,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,GBP,3,True,19,Music,deda3e61b9514b83,0.0,0,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,In stock (19 available)
Olio,23.88,GBP,1,True,19,Poetry,feb7cc7701ecf901,0.0,0,https://books.toscrape.com/catalogue/olio_984/index.html,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,GBP,1,True,19,Science Fiction,e30f54cea9b38190,0.0,0,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,In stock (19 available)
Libertarianism for Beginners,51.33,GBP,2,True,19,Politics,a18a4f574854aced,0.0,0,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,In stock (19 available)
It's Only the Himalayas,45.17,GBP,2,True,19,Travel,a22124811bfa8350,0.0,0,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,In stock (19 available)
In Her Wake,12.84,GBP,1,True,19,Thriller,23356462d1320d61,0.0,0,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,In stock (19 available)
How Music Works,37.32,GBP,2,True,19,Music,327f68a59745c102,0.0,0,https://books.toscrape.com/catalogue/how-music-works_979/index.html,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,GBP,3,True,19,Food and Drink,5674a18a29a43ced,0.0,0,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,In stock (19 available)
Chase Me (Paris Nights #2),25.27,GBP,5,True,19,Romance,c2e46a2ee3b4a322,0.0,0,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,In stock (19 available)
Black Dust,34.53,GBP,5,True,19,Romance,00bfed9e18bb36f3,0.0,0,https://books.toscrape.com/catalogue/black-dust_976/index.html,In stock (19 available)
Birdsong: A Story in Pictures,54.64,GBP,3,True,19,Childrens,9528d0948525bf5f,0.0,0,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,In stock (19 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,GBP,3,True,19,Default,c7d160c2c0de586f,0.0,0,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,In stock (19 available)
Aladdin and His Wonderful Lamp,53.13,GBP,3,True,19,Default,904208d6aa64b655,0.0,0,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,In stock (19 available)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,GBP,5,True,18,Nonfiction,4c28def39d850cdf,0.0,0,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,In stock (18 available)
Wall and Piece,44.18,GBP,4,True,18,Art,ccd9ffa25efabdea,0.0,0,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,In stock (18 available)
The Four Agreements: A Practical Guide to Personal Freedom,17.66,GBP,5,True,18,Spirituality,6258a1f6a6dcfe50,0.0,0,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,In stock (18 available)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,GBP,3,True,18,Nonfiction,3c039985229453bf,0.0,0,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,In stock (18 available)
The Elephant Tree,23.82,GBP,5,True,18,Thriller,5dada2b7be26bd03,0.0,0,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,In stock (18 available)
The Bear and the Piano,36.89,GBP,1,True,18,Childrens,9f6568e9c95f60b0,0.0,0,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,In stock (18 available)
Sophie's World,15.94,GBP,5,True,18,Philosophy,6be3beb0793a53e7,0.0,0,https://books.toscrape.com/catalogue/sophies-world_966/index.html,In stock (18 available)
Penny Maybe,33.29,GBP,3,True,18,Default,668fe56b17cfcd4f,0.0,0,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,In stock (18 available)
Maude (1883-1993):She Grew Up with the country,18.02,GBP,2,True,18,Default,094b269567e1c300,0.0,0,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,In stock (18 available)
"In a Dark, Dark Wood",19.63,GBP,1,True,18,Mystery,19ed25f4641d5efd,0.0,0,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,In stock (18 available)
Behind Closed Doors,52.22,GBP,4,True,18,Thriller,be5cc846f45496fb,0.0,0,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,In stock (18 available)
You can't bury them all: Poems,33.63,GBP,2,True,17,Poetry,55f9da0c5eea2e10,0.0,0,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,In stock (17 available)
Slow States of Collapse: Poems,57.31,GBP,3,True,17,Poetry,b4fd5943413e089a,0.0,0,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,In stock (17 available)
Reasons to Stay Alive,26.41,GBP,2,True,17,Nonfiction,c8f7f0cb1abb9cac,0.0,0,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,In stock (17 available)
Private Paris (Private #10),47.61,GBP,5,True,17,Fiction,b12b89017878a60d,0.0,0,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,In stock (17 available)
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,GBP,5,True,17,Nonfiction,c27f6e1f185b0383,0.0,0,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,In stock (17 available)
Without Borders (Wanderlove #1),45.07,GBP,2,True,16,New Adult,acddfeab2a407640,0.0,0,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,In stock (16 available)
When We Collided,31.77,GBP,1,True,16,Contemporary,3ecb690d1542c568,0.0,0,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,In stock (16 available)
